SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower WavePktsSent WavePtksReceived WavePktsPpr ExpectedWavePktsReceived ExpectedWavePktsInCoverageReceived BSM_PDR1 BSM_PDR2 BSM_PDR3 BSM_PDR4 BSM_PDR5 BSM_PDR6 BSM_PDR7 BSM_PDR8 BSM_PDR9 BSM_PDR10 MacPhyOverhead
83 18.432 36 10 protocol 7.5 670 0 0 1343 0 0 0 0 0 0 0 0 0 0 0 1685.08
84 18.432 36 10 protocol 7.5 670 0 0 1364 0 0 0 0 0 0 0 0 0 0 0 1677.89
85 18.432 36 10 protocol 7.5 670 0 0 1278 0 0 0 0 0 0 0 0 0 0 0 1670.68
86 18.432 36 10 protocol 7.5 670 0 0 1157 0 0 0 0 0 0 0 0 0 0 0 1659.62
87 17.92 35 10 protocol 7.5 670 0 0 1078 0 0 0 0 0 0 0 0 0 0 0 1649.4
88 18.432 36 10 protocol 7.5 670 0 0 974 0 0 0 0 0 0 0 0 0 0 0 1641.37
89 17.92 35 10 protocol 7.5 670 0 0 920 0 0 0 0 0 0 0 0 0 0 0 1633.63
90 18.432 36 10 protocol 7.5 670 0 0 966 0 0 0 0 0 0 0 0 0 0 0 1620.08
91 16.896 33 10 protocol 7.5 670 0 0 1122 0 0 0 0 0 0 0 0 0 0 0 1601.66
92 18.432 36 10 protocol 7.5 670 0 0 1168 0 0 0 0 0 0 0 0 0 0 0 1582.85
93 18.432 36 10 protocol 7.5 670 0 0 1180 0 0 0 0 0 0 0 0 0 0 0 1576.64
94 18.432 36 10 protocol 7.5 670 0 0 1228 0 0 0 0 0 0 0 0 0 0 0 1569.5
95 17.92 35 10 protocol 7.5 670 0 0 1203 0 0 0 0 0 0 0 0 0 0 0 1561.78
96 17.92 35 10 protocol 7.5 670 0 0 1206 0 0 0 0 0 0 0 0 0 0 0 1541.16
97 18.432 36 10 protocol 7.5 670 0 0 1276 0 0 0 0 0 0 0 0 0 0 0 1533.09
98 18.432 36 10 protocol 7.5 670 0 0 1257 0 0 0 0 0 0 0 0 0 0 0 1523.8
99 17.92 35 10 protocol 7.5 670 0 0 1164 0 0 0 0 0 0 0 0 0 0 0 1516.81
100 18.432 36 10 protocol 7.5 670 0 0 1188 0 0 0 0 0 0 0 0 0 0 0 1509.82
101 18.432 36 10 protocol 7.5 670 0 0 1103 0 0 0 0 0 0 0 0 0 0 0 1504.03
102 18.432 36 10 protocol 7.5 670 0 0 1074 0 0 0 0 0 0 0 0 0 0 0 1497.85
