SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower WavePktsSent WavePtksReceived WavePktsPpr ExpectedWavePktsReceived ExpectedWavePktsInCoverageReceived BSM_PDR1 BSM_PDR2 BSM_PDR3 BSM_PDR4 BSM_PDR5 BSM_PDR6 BSM_PDR7 BSM_PDR8 BSM_PDR9 BSM_PDR10 MacPhyOverhead
15 5.632 11 10 protocol 7.5 670 7956 11.8746 1027 763 0.742941 0.654208 0.579913 0.539335 0.496778 0.447309 0.400524 0.400524 0.400524 0.400524 0.136717
16 5.12 10 10 protocol 7.5 670 7836 11.6955 984 724 0.735772 0.649365 0.577492 0.531363 0.486475 0.435627 0.391722 0.391722 0.391722 0.391722 0.135915
17 12.8 25 10 protocol 7.5 670 8635 12.8881 904 692 0.765487 0.654239 0.604978 0.557873 0.523694 0.477415 0.428132 0.428132 0.428132 0.428132 0.136336
18 9.216 18 10 protocol 7.5 670 7580 11.3134 898 625 0.695991 0.58322 0.537962 0.502379 0.466516 0.421239 0.371187 0.371187 0.371187 0.371187 0.135682
19 15.872 31 10 protocol 7.5 670 9419 14.0582 863 687 0.79606 0.68711 0.645381 0.59808 0.563092 0.522403 0.460249 0.460249 0.460249 0.460249 0.136714
20 15.36 30 10 protocol 7.5 670 7278 10.8627 882 649 0.735828 0.607006 0.536289 0.486746 0.450423 0.403142 0.351781 0.351781 0.351781 0.351781 0.136619
21 12.8 25 10 protocol 7.5 670 7403 11.0493 868 609 0.701613 0.600338 0.525956 0.48343 0.452364 0.407986 0.355281 0.355281 0.355281 0.355281 0.138608
22 10.752 21 10 protocol 7.5 670 8016 11.9642 763 594 0.778506 0.615934 0.548311 0.508935 0.479694 0.43726 0.381823 0.381823 0.381823 0.381823 0.136324
23 14.336 28 10 protocol 7.5 670 7675 11.4552 752 561 0.746011 0.596942 0.528327 0.490501 0.457044 0.416938 0.365076 0.365076 0.365076 0.365076 0.135669
24 17.92 35 10 protocol 7.5 670 7556 11.2776 668 504 0.754491 0.599332 0.514542 0.478596 0.446132 0.406632 0.36005 0.36005 0.36005 0.36005 0.133765
25 10.24 20 10 protocol 7.5 670 7016 10.4716 774 502 0.648579 0.545455 0.487402 0.447482 0.41455 0.377025 0.336128 0.336128 0.336128 0.336128 0.13153
26 19.968 39 10 protocol 7.5 670 9254 13.8119 872 725 0.831422 0.692135 0.616455 0.573758 0.537814 0.492358 0.441655 0.441655 0.441655 0.441655 0.132427
27 17.408 34 10 protocol 7.5 670 7744 11.5582 926 672 0.725702 0.59096 0.524252 0.489476 0.449829 0.415373 0.367676 0.367676 0.367676 0.367676 0.132809
