SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
228,40.432,36,10,13CN,7.5,670,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,739.423
229,40.432,36,10,13CN,7.5,670,0,0,1614,0,0,0,0,0,0,0,0,0,0,0,736.105
230,40.432,36,10,13CN,7.5,670,0,0,1683,0,0,0,0,0,0,0,0,0,0,0,732.815
231,40.432,36,10,13CN,7.5,670,0,0,1588,0,0,0,0,0,0,0,0,0,0,0,728.884
232,40.432,36,10,13CN,7.5,670,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,725.424
233,39.408,34,10,13CN,7.5,670,0,0,1436,0,0,0,0,0,0,0,0,0,0,0,720.683
234,40.944,37,10,13CN,7.5,670,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,716.714
235,39.408,34,10,13CN,7.5,670,0,0,1424,0,0,0,0,0,0,0,0,0,0,0,712.58
236,40.432,36,10,13CN,7.5,670,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,706.599
237,40.432,36,10,13CN,7.5,670,0,0,1435,0,0,0,0,0,0,0,0,0,0,0,703.016
238,40.432,36,10,13CN,7.5,670,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,699.816
239,40.432,36,10,13CN,7.5,670,0,0,1454,0,0,0,0,0,0,0,0,0,0,0,696.571
240,39.92,35,10,13CN,7.5,670,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,693.176
241,40.432,36,10,13CN,7.5,670,0,0,1551,0,0,0,0,0,0,0,0,0,0,0,688.144
242,39.92,35,10,13CN,7.5,670,0,0,1569,0,0,0,0,0,0,0,0,0,0,0,684.674
243,38.896,33,10,13CN,7.5,670,0,0,1570,0,0,0,0,0,0,0,0,0,0,0,679.292
244,40.432,36,10,13CN,7.5,670,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,675.416
245,41.456,38,10,13CN,7.5,670,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,672.59
246,41.456,38,10,13CN,7.5,670,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,669.692
247,42.992,41,10,13CN,7.5,670,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,667.041
248,42.48,40,10,13CN,7.5,670,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,665.13
249,43.504,42,10,13CN,7.5,670,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,662.303
250,42.48,40,10,13CN,7.5,670,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,659.543
251,41.456,38,10,13CN,7.5,670,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,655.509
252,42.48,40,10,13CN,7.5,670,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,652.955
253,42.48,40,10,13CN,7.5,670,0,0,1334,0,0,0,0,0,0,0,0,0,0,0,650.525
254,41.968,39,10,13CN,7.5,670,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,647.996
255,41.456,38,10,13CN,7.5,670,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,642.386
256,41.456,38,10,13CN,7.5,670,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,639.909
257,42.48,40,10,13CN,7.5,670,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,636.827
258,41.968,39,10,13CN,7.5,670,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,634.556
259,42.48,40,10,13CN,7.5,670,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,631.91
260,42.48,40,10,13CN,7.5,670,0,0,1564,0,0,0,0,0,0,0,0,0,0,0,629.268
261,42.48,40,10,13CN,7.5,670,0,0,1614,0,0,0,0,0,0,0,0,0,0,0,626.13
262,42.48,40,10,13CN,7.5,670,0,0,1585,0,0,0,0,0,0,0,0,0,0,0,623.167
263,42.48,40,10,13CN,7.5,670,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,620.492
264,42.48,40,10,13CN,7.5,670,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,618.773
265,42.48,40,10,13CN,7.5,670,0,0,1483,0,0,0,0,0,0,0,0,0,0,0,617.248
266,42.48,40,10,13CN,7.5,670,0,0,1447,0,0,0,0,0,0,0,0,0,0,0,615.718
267,42.48,40,10,13CN,7.5,670,0,0,1446,0,0,0,0,0,0,0,0,0,0,0,614.223
268,42.48,40,10,13CN,7.5,670,0,0,1556,0,0,0,0,0,0,0,0,0,0,0,612.713
269,42.48,40,10,13CN,7.5,670,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,611.025
270,42.48,40,10,13CN,7.5,670,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,609.266
271,44.016,43,10,13CN,7.5,670,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,587.943
272,42.48,40,10,13CN,7.5,670,0,0,1439,0,0,0,0,0,0,0,0,0,0,0,586.431
273,39.92,35,10,13CN,7.5,670,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,575.313
274,43.504,42,10,13CN,7.5,670,0,0,1493,0,0,0,0,0,0,0,0,0,0,0,573.38
275,42.48,40,10,13CN,7.5,670,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,572.04
276,42.48,40,10,13CN,7.5,670,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,570.618
277,41.456,38,10,13CN,7.5,670,0,0,1505,0,0,0,0,0,0,0,0,0,0,0,565.416
278,41.968,39,10,13CN,7.5,670,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,562.924
279,42.48,40,10,13CN,7.5,670,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,561.416
280,42.48,40,10,13CN,7.5,670,0,0,1403,0,0,0,0,0,0,0,0,0,0,0,559.971
281,41.968,39,10,13CN,7.5,670,0,0,1419,0,0,0,0,0,0,0,0,0,0,0,558.51
282,42.992,41,10,13CN,7.5,670,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,557.014
283,42.48,40,10,13CN,7.5,670,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,555.61
284,42.48,40,10,13CN,7.5,670,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,554.284
285,42.48,40,10,13CN,7.5,670,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,550.157
286,42.48,40,10,13CN,7.5,670,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,548.814
